Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,MonthName,YearMonth,Quarter,DaysToShip,ProfitMargin,OrderTotal,AOV,Rank,ProfitPerUnit,AvgDealSize,MonthlyTarget,EstimatedPipelineNeeded
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,Nov,2016-11,2016Q4,3,0.16000000000000003,993.8999999999999,455.87999999999994,446.0,20.9568,496.94999999999993,8976.960322916668,1309.7999999999997
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.9399999999999,3,0.0,219.58199999999997,2016,11,Nov,2016-11,2016Q4,3,0.3,993.8999999999999,455.87999999999994,27.0,73.19399999999999,496.94999999999993,8976.960322916668,3659.6999999999994
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8713999999999995,2016,6,Jun,2016-06,2016Q2,4,0.47,14.62,418.2106666666667,1202.0,3.4356999999999998,14.62,16625.075144791666,73.1
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.03100000000006,2015,10,Oct,2015-10,2015Q4,7,-0.4000000000000001,979.9455,503.8244666666667,57.0,-76.60620000000002,489.97275,8976.960322916668,4787.8875
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368000000000002,2,0.2,2.516399999999999,2015,10,Oct,2015-10,2015Q4,7,0.11249999999999995,979.9455,503.8244666666667,933.0,1.2581999999999995,489.97275,8976.960322916668,111.84
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.169399999999996,2014,6,Jun,2014-06,2014Q2,5,0.2899999999999999,3714.304,1360.5752916666668,1182.0,2.0241999999999996,530.6148571428572,16625.075144791666,244.29999999999998
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656000000000002,2014,6,Jun,2014-06,2014Q2,5,0.27,3714.304,1360.5752916666668,1730.0,0.49140000000000006,530.6148571428572,16625.075144791666,36.4
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.71520000000004,2014,6,Jun,2014-06,2014Q2,5,0.10000000000000003,3714.304,1360.5752916666668,291.0,15.119200000000006,530.6148571428572,16625.075144791666,4535.76
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,6,Jun,2014-06,2014Q2,5,0.31249999999999994,3714.304,1360.5752916666668,1063.0,1.9275,530.6148571428572,16625.075144791666,92.52
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.46999999999999,2014,6,Jun,2014-06,2014Q2,5,0.29999999999999993,3714.304,1360.5752916666668,787.0,6.893999999999998,530.6148571428572,16625.075144791666,574.5
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.1840000000002,9,0.2,85.3091999999998,2014,6,Jun,2014-06,2014Q2,5,0.04999999999999988,3714.304,1360.5752916666668,109.0,9.478799999999978,530.6148571428572,16625.075144791666,8530.92
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.35680000000002,2014,6,Jun,2014-06,2014Q2,5,0.07500000000000002,3714.304,1360.5752916666668,278.0,17.089200000000005,530.6148571428572,16625.075144791666,4557.12
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552000000000003,3,0.2,5.4432,2017,4,Apr,2017-04,2017Q2,5,0.3499999999999999,15.552000000000003,731.7093333333333,1429.0,1.8144,15.552000000000003,8976.960322916668,77.76
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.97600000000006,3,0.2,132.59219999999993,2016,12,Dec,2016-12,2016Q4,5,0.3249999999999998,407.97600000000006,818.8189523809524,143.0,44.19739999999998,407.97600000000006,16625.075144791666,2039.88
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.80999999999999,5,0.8,-123.858,2015,11,Nov,2015-11,2015Q4,4,-1.8000000000000003,71.35399999999998,347.39619999999996,414.0,-24.7716,35.67699999999999,11486.7474975,344.0499999999999
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.5439999999999996,3,0.8,-3.8160000000000016,2015,11,Nov,2015-11,2015Q4,4,-1.5000000000000009,71.35399999999998,347.39619999999996,1403.0,-1.2720000000000005,35.67699999999999,11486.7474975,12.719999999999997
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.317599999999999,2014,11,Nov,2014-11,2014Q4,7,0.019999999999999997,665.88,808.07984,246.0,2.2196,665.88,11486.7474975,3329.3999999999996
